Veritrace_ID,USTC_ID,Added by,Subcorpus,Subcorpus_2 (if any),CRC_Type,USTC copies,Principal Author,Additional Author,Additional Author2,Additional Author3,Additional Author4,Additional Author5,Contributor,Contributor2,Contributor3,Translator,Short Title,Imprint,Format,Pagination,Place of Printing,Printer/Publisher,Printer/Publisher2,Printer/Publisher3,Date of Publication,Language,USTC Permalink,GW_ID,GW_URL,ISTC_ID,ISTC URL,MEI URL,Verzeichnis 16. Jahrhunders ID (VD16) ID,VD16 Permalink,OPAC SBN ID,OPAC SBN URL,ESTC,SOURCE COMMENTS (Input),Dannenfeldt Cat.,Verified Digital Copy URL,MDZ Link,TaxonomyID,Copy-text?,Taxonomy
135,1803892.0,,Hermetic Corpus,,,5.0,"Trismegistus, Hermes",,,,,,,,,,Sesthien boecken,"Amstelredam, P. La Burgh bookseller, (colophon: 1652)12°",,,Amsterdam,"Burgh, Pieter la",,,1652,Dutch,https://www.ustc.ac.uk/editions/1803892,,,,,,,,,,,Suggested by Cornelis,,https://www.google.be/books/edition/Sesthien_boecken/b4IPAAAAQAAJ?hl=it&gbpv=0,,,,
127,,,Chaldean Oracles,...more than two,,,"Clericus, J.",,,,,,,,,,Opera philosophica,,,,Nordhausen,J. H. Grossius,,,1726,Latin/Greek,,,,,,,,,,,,Dannenfeldt 1960b (161),,https://www.google.be/books/edition/Joannis_Clerici_Opera_philosophica/M2-eLhniyEUC?hl=it&gbpv=0,,,,
128,,,Chaldean Oracles,,,,"Mattaire, M.",,,,,,,,,,"Miscellanea Graecorum aliquot scriptorium carmina, cum versione latina et notis",,,,London,William Bowyer,,,1722,Latin/Greek,,,,,,,,,,,,Dannenfeldt 1960b (162),,https://www.google.be/books/edition/Miscellanea_Graecorum_aliquot_Scriptorum/V4NfAAAAcAAJ?hl=it&gbpv=0,,,,
126,,,Chaldean Oracles,...more than two,,,"Clericus, J.",,,,,,,,,,Opera philosophica,,,,Amsterdam,R. and G. Westenios,,,1722,Latin/Greek,,,,,,,,,,,,Dannenfeldt 1960b (161),,https://www.google.be/books/edition/Joannis_Clerici_Opera_philosophica_in_qu/yjRYVXQLNRUC?hl=it&gbpv=0,,,,
125,,,Chaldean Oracles,...more than two,,,"Stanley, Thomas",,,,,,,,,,Historia philosophiae,,,,Leipzig ,"Fritsch, Thomas",,,1711,Latin/Greek,,,,,,,,,,,,Dannenfeldt 1960b (161),,https://www.google.be/books/edition/Historia_philosophiae_vitas_opiniones_re/RpB31tbAifoC?hl=it&gbpv=0,,,,
123,,,Chaldean Oracles,...more than two,,,"Clericus, J.",,,,,,,,,,Opera philosophica,,,,Amsterdam,J. L. De Lorne,,,1704,Latin/Greek,,,,,,,,,,,,Dannenfeldt 1960b (161),,https://archive.org/details/joannisclericio02clergoog/mode/2up,,,,
122,,,Chaldean Oracles,...more than two,,,"Stanley, Thomas",,,,,,,,,,The history of philosophy,,,,London,W. Battersby,,,1701,Latin/Greek/English,,,,,,,,,,,,Dannenfeldt 1960b (161),,https://archive.org/details/b30450494/page/674/mode/2up,,,,
121,,,Chaldean Oracles,,,,"Lambecius, Petrus",,,,,,,,,,Prodromus historiae literariae,,,,Leipzig and Frankfurt,C. Liebezeit,,,1710,Latin,,,,,,,,,,,,Dannenfeldt 1960b (159),,https://www.google.be/books/edition/Prodromus_historiae_literariae_et_tabula/4beLaUuTqg4C?hl=it&gbpv=0,,,,
124,,,Chaldean Oracles,...more than two,,,"Clericus, J.",,,,,,,,,,Opera philosophica,,,,Amsterdam,J. L. De Lorne,,,1710,Latin/Greek,,,,,,,,,,,,Dannenfeldt 1960b (161),,https://www.google.be/books/edition/Joannis_Clerici_Opera_Philosophica/f5JXAAAAcAAJ?hl=it&gbpv=1&dq=Joannis+Clerici+Opera+philosophica&printsec=frontcover,,,,
115,,,Hermetic Corpus,,,,,,,,,,,,,,Translation of the Pymander,,,,Venezia,Petrus Lichtenstein,Johann Amman,,After 1500?,Latin,,,,,,,,,,,,Dannenfeldt 1960a (139),,"Listed by Dannenfeldt, not on the USTC, and tricky to track down. Will try again at a later time. ",,,,
114,,,Hermetic Corpus,,,,,,,,,,,,,,Translation of the Pymander,,,,Venezia,,,,1483,Latin,,,,,,,,,,,,"Dannenfeldt 1960a (139). According to M. Campanelli (note 8, p. LXVII), likely a ghost edition",,Likely non-existent. ,,,,
113,,Jeffrey Wolf,Sibylline Oracles,,contained within other work (ancient wisdom),,,,,,,,,,,,"Monumenta S. Patrum Orthodoxographa: Hoc Est, Theologiae Sacrosanctae ac syncerioris fidei Doctores, Numero Circiter LXXXV, Ecclesiae columina luminaque clarissima, Authores partim Graeci, partim Latini …",Basileae : Henricpetri,,"[46] Bl., 2064 S",Basel,"Grynaeus, Johann Jakob",,,1569,"Latin, Ancient Greek",,,,,,,,,,,,Added by Jeff,,https://www.google.be/books/edition/MONVMENTA_S_PATRVM_ORTHODOXOGRAPHA_HOC_E/5tNhAAAAcAAJ?hl=it&gbpv=0,https://mdz-nbn-resolving.de/details:bsb11298327,,,
112,,Jeffrey Wolf,Sibylline Oracles,,contained within other work (ancient wisdom),,,,,,,,"Herold, Johannes",,,,"Orthodoxographa theologiae sacrosanctae ac syncerioris fidei doctores numero LXXVI, ecclesiae columina luminaque clarissima: authores partim Graeci, partim Latini, ob vetustatem & eruditionem venerandi, quorum quidam nulli hactenus visi: verbis breves ... ut vere possint appellari Theologica Bibliotheca ...",Basileai: Petri,2°,"[20] Bl., 1522 S., [1] Bl.",Basel,"Herold, Johannes",,,1555,"Latin, Ancient Greek",,,,,,,VD16 H 2550,https://gateway-bayern.de/VD16+H+2550,,,,Added by Jeff,,https://opendata2.uni-halle.de/handle/1516514412012/3285,https://mdz-nbn-resolving.de/details:bsb11204256,,,
111,,Jeffrey Wolf,Sibylline Oracles,,edition (ancient wisdom),,,,,,,,"Birck, Sixt, 1501-1554",,,,Sibylliakōn chrēsmōn logoi oktō : Adiecta quoquae sunt lactantii excerpta de his testimonia = Sibyllinorum oraculorum libri octo,Basileae,,,Basel,,,,[1545],Greek,,,,,,,VD16 S 6277,https://gateway-bayern.de/VD16+S+6277,,,,This has a Latin introduction but the base text - the Oracles themselves - are printed in Greek.,,"https://www.digitale-sammlungen.de/en/view/bsb00023852?page=,1","https://www.digitale-sammlungen.de/en/view/bsb00023852?page=,1",1.0,checked,
110,,,Sibylline Oracles,,,,,,,,,,"Birck, Sixt","Châteillon, Sébastien",,,"Sibylliakōn Chrēsmōn Logoi Oktō : Addita Sebastiani Castalionis interpretatione Latina, quae Graeco eregionè respondeat. Cum Annotationib. Xysti Betuleij in Graeca Sibyllina oracula, et Sebastiani Castalionis in translationem suam ... = Sibyllinorum Oraculorum Libri VIII.",Basileae : Oporinus,8°,"333, [1] S., [1] Bl.",Basel,Oporinus,,,[1555],Ancient Greek; Latin,,,,,,,VD16 S 6279,https://gateway-bayern.de/VD16+S+6279,,,,Added by Jeff,,https://www.google.be/books/edition/Sibylliak%C5%8Dn_chr%C4%93sm%C5%8Dn_logoi_okt%C5%8D/bnXi_EcCP20C?hl=it&gbpv=0,https://mdz-nbn-resolving.de/details:bsb00015267,,,
109,693901.0,,Sibylline Oracles,,,39.0,,,,,,,,,,,"Bucolica ecloga 4 sibyllina oracula de Graeco in Latinum conversa, et in eadem annotationes. Sebastiano castalione interprete.","Basel, [ex officina Johann Oporinus, 1546]",8°,pp. [24] 135,Basel,"Oporinus, Johann",,,1546,Latin,https://www.ustc.ac.uk/editions/693901,,,,,,,,,,,"This is presumably the Latin translation of the 1545 Greek edition, and hence can serve as the copy-text for later Latin editions.
",,https://www.google.de/books/edition/Sibyllina_oracula_de_graeco_in_latinum_c/xFtYAAAAcAAJ?hl=en&gbpv=0,"https://www.digitale-sammlungen.de/en/view/bsb10993747?page=,1",,checked,1.0
105,139721.0,,Sibylline Oracles,,,1.0,Sibyllina oracula,,,,,,,,,,Sibyllas chresmoi,"Paris, apud veuve Guillaume Morel, 1566",4°,pp. 67 [1],Paris,"Morel, Guillaume (widow of)",,,1566,Latin,https://www.ustc.ac.uk/editions/139721,,,,,,,,,,,,,No link provided by the USTC and I wasn't able to find it anywhere else. ,,,,
103,3073167.0,,Hermetic Corpus,,,12.0,,,,,,,,,,,"Hermes Mercurius Trismegistus, his Divine pymander, in seventeen books. Together with his second book, called Asclepius; containing fifteen chapters, with a commentary. Translated formerly out of the Arabick into Greek, and thence into Latine, and Dutch, and now out of the original into English; by that learned divine Dr. Everard.","London, printed by John Streater, for Thomas Brewster, 1657",12°,pp. [14] 246 [4] 127 [3],London,"Streater, John","Brewster, Thomas",,1657,English,https://www.ustc.ac.uk/editions/3073167,,,,,,,,,,,,,https://www.google.be/books/edition/Hermes_Mercurius_Trismegistus_His_Divine/3-YPAq1Gt2oC?hl=it&gbpv=0 (VOLUME 1); https://www.google.be/books/edition/Hermes_Mercurius_Trismegistus_His_Divine/cWacSrGmx4cC?hl=it&gbpv=0 (VOLUME 2),,,,
102,1029511.0,,Hermetic Corpus,,,6.0,"Trismegistus, Hermes",,,,,,,,,,Sesthien boecken,"Amsterdam, Nicolaes van Ravesteyn, for Ysbrant Ryvertsz, 1643",4°,,Amsterdam,"Ryvertsz, Ysbrant","Ravesteyn, Nicolaes van",,1643,Dutch,https://www.ustc.ac.uk/editions/1029511,,,,,,,,,,,Suggested by Cornelis,,https://www.google.be/books/edition/Sesthien_boecken_van_den_voor_treffelijc/obNmAAAAcAAJ?hl=it&gbpv=0,,,,
101,450652.0,,Orphic Hymns,,,15.0,"Estienne, Henri",,,,,,,,,"Cop, Guillaume","<Poiêsis philosophos>. Poesis philosophica, vel saltem, Reliquiæ poesis philosophicæ.","[Genève], Henri II Estienne, 1573",,,Genève,"Estienne, Henri",,,1573,Latin/Greek,https://www.ustc.ac.uk/editions/450652,,,,,,,,,,,"Hankins, Palmer 2008 (69)",,https://www.e-rara.ch/gep_g/doi/10.3931/e-rara-6276,,,,
100,5955.0,,Hermetic Corpus,,,67.0,Hermes Trismegistus,,,,,,,,,"Candale, François de Foix de",Le pimandre,"Bordeaux, Simon Millanges, 1579",2°,pp. [26] 741 [=745] [37],Bordeaux,"Millanges, Simon",,,1579,French,https://www.ustc.ac.uk/editions/5955,,,,,,,,,,,Dannenfeldt 1960a (141),,https://gallica.bnf.fr/ark:/12148/bpt6k110569f.r=.langEN,,,,
99,1560784.0,,Chaldean Oracles,,,,"Clerici, Joan",,,,,,,,,,Opera philosophica,"Amsterdam, 1700",8°,,Amsterdam,s.n. ,,,1700,Latin,https://www.ustc.ac.uk/editions/1560784,,,,,,,,,,,Dannenfeldt 1960b (161),,https://www.google.be/books/edition/Joannis_Clerici_Opera_philosophica_Pneum/glc-AAAAYAAJ?hl=it&gbpv=0,,,,
98,1560597.0,,Chaldean Oracles,,,,"Clerici, Joan",,,,,,,,,,Opera philosophica,"Amsterdam, 1698",8°,,Amsterdam,s.n. ,,,1698,Latin,https://www.ustc.ac.uk/editions/1560597,,,,,,,,,,,Dannenfeldt 1960b (161),,https://www.google.be/books/edition/Opera_philosophica_in_quatur_volumia_dig/MgRiAAAAcAAJ?hl=it&gbpv=0,,,,
97,1824373.0,,Chaldean Oracles,,,7.0,"Stanley, Thomas",,,,,,,,,,Historia philosophiæ orientalis,"Amstelodami, apud vid. Swart, 1690",8°,,Amsterdam,"Swart, Steven (widow of)",,,1690,Latin,https://www.ustc.ac.uk/editions/1824373,,,,,,,,,,,Dannenfeldt 1960b (161),,https://www.google.be/books/edition/Historia_philosophiae_orientalis/Li4QGYk2BN8C?hl=it&gbpv=1&dq=Historia+philosophiae+orientalis&printsec=frontcover,,,,
95,3114392.0,,Chaldean Oracles,,,63.0,"Stanley, Thomas",,,,,,,,,,"The history of philosophy: containing the lives, opinions, actions and discourses of the philosophers of every sect. Illustrated with the effigies of divers of them. By Thomas Stanley, Esq;","London, printed for Thomas Bassett, 1687",2°,"pp. [26] 228, 351-445, 452-587 [1] 737-960 [16] 1029-1091 [1]",London,"Bassett, Thomas",,,1687,Latin,https://www.ustc.ac.uk/editions/3114392,,,,,,,,,,,Dannenfeldt 1960b (161),,https://archive.org/details/bim_early-english-books-1641-1700_the-history-of-philosoph_stanley-thomas_1687/mode/2up,,,,
107,2549636.0,,Sibylline Oracles,,,9.0,,,,,,,,,,,"Sibyllina Oracula: De Graeco In Latinum Conversa, Et In Eadem Annotationes, Sebastiano Castalione interprete","Helmestadi, [Müller], 1673",4°,pp. [8] 104 [44],Helmstedt,"Müller, Henning (the Younger)",,,1673,Latin,https://www.ustc.ac.uk/editions/2549636,,,,,,,,,,,,,http://diglib.hab.de/drucke/252-1-quod/start.htm,"https://www.digitale-sammlungen.de/en/view/bsb10220659?page=,1",,,
94,2613552.0,,Chaldean Oracles,,,4.0,,,,,,,,,,,"Trinum Magicum Sive Secretorum Magicorum Opus: Continens I. De Magia Naturali, Artificiosa & Superstitiosa Diquisitiones Axiomaticas. II. Theatrum Naturae praeter Curam Magneticam, & veterum Sophorum Sigilla & Imagines Magicas III. Oracula Zoroastris, & Mysteria Mysticae Philosphiae, Haebraeorum, Chaldaeorum, Aegyptiorum","Francofurti, Seylerus, 1673",12°,pp. [24] 498,Frankfurt am Main,"Seyler, Jakob Gottfried",,,1673,Latin,https://www.ustc.ac.uk/editions/2613552,,,,,,,,,,,Dannenfeldt 1960b (161),,"https://www.google.be/books/edition/Trinum_magicum/RTurpRCxTLQC?hl=it&gbpv=1&dq=Trinum+Magicum,+Sive+Secretorum+Magicorum+Opus&printsec=frontcover",,,,
93,2587027.0,,Chaldean Oracles,,,1.0,,,,,,,,,,,"Trinum Magicum, Sive Secretorum Magicorum Opus: Continens I. De Magia Naturali, Artificiosa & Superstitiosa Diquisitiones Axiomaticas. II. Theatrum Naturae praeter Curam Magneticam, & veterum Sophorum Sigilla & Imagines Magicas III. Oracula Zoroastris, & Mysteria Mysticae Philosophiae, Hebraeorum, Chaldaeorum, Aegyptiorum, Persarum, Orphicorum, & Pythagoricorum","Francofurti, Gerlach, Beckenstein, 1663",12°,pp. [22] 498 (= 500),Frankfurt am Main,"Gerlach, Christian","Beckenstein, Simon",,1663,Latin,https://www.ustc.ac.uk/editions/2587027,,,,,,,,,,,Dannenfeldt 1960b (161),,https://www.google.be/books/edition/_/ajFmAAAAcAAJ?hl=it&sa=X&ved=2ahUKEwiP2_npqoyFAxVzcaQEHSn4DCIQre8FegQIDhAG,,,,
92,3081991.0,,Chaldean Oracles,,,24.0,"Stanley, Thomas",,,,,,,,,,The history of the Chaldaick philosophy by Thomas Stanley.,"London, printed for Thomas Dring, 1662",2°,pp. [6] 91 [1] 68 [36],London,"Dring, Thomas",,,1662,Latin,https://www.ustc.ac.uk/editions/3081991,,,,,,,,,,,Dannenfeldt 1960b (161),,https://www.google.be/books/edition/The_History_of_the_Chaldaick_Philosophy/5xNfYypG5fMC?hl=it&gbpv=1&dq=The+history+of+the+Chaldaick+philosophy&printsec=frontcover,,,,
91,2603605.0,,Chaldean Oracles,,,6.0,"Lambeck, Peter",,,,,,,,,,"Liber Primus Prodromi Historiae Literariae: Nec Non Libri Secundi Capita Quatuor Priora, cum Appendice, quae Sciagraphiam continet, sive primam delineationem praecipuarum Personarum ac Rerum, de quibus, volente Deo, reliquis triginta duobus eiusdem Libri Capitibus plenius & accuratius agetur","[Hamburg], Sumptibus Autoris, Hamburgi, Piperus, 1659",2°,pp. [16] 311 (= 314) [164],Hamburg,"Lambeck, Peter","Pfeiffer, Michael",,1659,Latin,https://www.ustc.ac.uk/editions/2603605,,,,,,,,,,,Dannenfeldt 1960b (161),,https://digitalisate.sub.uni-hamburg.de/recherche/detail?tx_dlf%5Bdouble%5D=1&tx_dlf%5Bid%5D=14443&tx_dlf%5Bpage%5D=1&tx_dlf_navigation%5Bcontroller%5D=Navigation&cHash=1dea52ca5c9d1fc185e91f5ca8afeec5,,,,
89,1028972.0,,Chaldean Oracles,,,14.0,"Heurnius, Otto ",,,,,,,,,,"Babylonica, Indica, Ægyptia, &c. philosophiæ primordia","Leiden, apud Joannes Maire, 1619",12°,pp. [24] 314 [14],Leiden,"Maire, Joannes",,,1619,Latin,https://www.ustc.ac.uk/editions/1028972,,,,,,,,,,,Dannenfeldt 1960b (164),,"https://www.google.be/books/edition/Babylonica_indica_Aegyptiae_philosphiae/AHkPAAAAQAAJ?hl=it&gbpv=1&dq=Babylonica,+Indica,+%C3%86gyptia&pg=PA1&printsec=frontcover",,,,
85,242783.0,,Hermetic Corpus,,,3.0,"Rosseli, Hannibal",,,,,,,,,,"Asclepivs Mercvrii Trismegisti. $n Lib. 6, $p de immortalitate Animæ, qui est primus Asclepij. / Cum Commento Fratris Hannibalis Rosseli...","Cracoviæ : In Officina Typographica Lazari, 1590.",2°,pp. [10] 485 [7],Kraków,"Januszowski, Jan",Drukarnia Łazarzowa,,1590,Latin,https://www.ustc.ac.uk/editions/242783,,,,,,,,,,,Dannenfeldt 1960a (148),,https://www.google.be/books/edition/Mercurii_Trismegisti_Pymander_cum_commen/2CkekC3ncgkC?hl=it&gbpv=0,,,,
81,835643.0,,Hermetic Corpus,,,46.0,Hermes Trismegistus,"Benci, Tommaso",,,,,,,,,Il Pimandro,"Firenze, [Lorenzo Torrentino], 1548",8°,pp. [24] 119 [17],Firenze,"Torrentino, Lorenzo",,,1548,Italian,https://www.ustc.ac.uk/editions/835643,,,,,,,,PUVE009670,http://id.sbn.it/bid/PUVE009670,,Added by Nicolò,,https://www.google.be/books/edition/Il_pimandro_di_Mercurio_Trimegisto/wuJQbRXcM7kC?hl=it&gbpv=0,,,,
79,152760.0,,...other,,,36.0,"Marsilio, Ficino",,,,,,,,,,Theologia Platonica de immortalitate animorum duo de viginti libris,"Paris, Jean Savetier apud Gilles Gourbin, 1559",8°,ff. [36] 347 [1],Paris ,"Savetier, Jean","Gourbin, Gilles",,1559,Latin,https://www.ustc.ac.uk/editions/152760,,,,,,,,,,,,,https://www.google.it/books/edition/Theologia_Platonica_de_immortalitate_ani/Ur-ElFDGd9kC?hl=it&gbpv=1&dq=Platonica+theologia+de+immortalitate+animorum&printsec=frontcover,,,,
78,829428.0,,...other,,,32.0,"Marsilio, Ficino",,,,,,,,,,"Platonica theologia de immortalitate animorum accurativs noviter impressa, & cum exemplaribus eiusdem authoris collata. Restitutis omnibus locis, que per incuriam ab iis, qui alias eam impressioni dedere, vel relicta vel errata fuerunt. Adiecto recens omnium, que notatu digna sunt, amplissimo indice alphabetico, & aliis multis ad decorem totius voluminis facientibus, ut studioso lectori interlegendum patebit","Venezia, in aedibus Francesco I Bindoni & Maffeo Pasini sumptibus ac impensis Giovanni Battista Pederzano, 1525",4°,ff. [22] 196,Venezia,"Pederzano, Giovanni Battista","Bindoni, Francesco (I)","Pasini,Maffeo",1525,Latin,https://www.ustc.ac.uk/editions/829428,,,,,,,,,,,,,No digital copy found.,,,,
77,994999.0,,...other,,,65.0,"Marsilio, Ficino",,,,,,,,,,Platonica theologia de immortalitate animorum,"Firenze, Antonio di Bartolommeo Miscomini, 7 November 1482",4°,,Firenze,"Bartolommeo Miscomini, Antonio di",,,1482,Latin,https://www.ustc.ac.uk/editions/994999,GW09881,https://www.gesamtkatalogderwiegendrucke.de/docs/GW09881.htm,if00157000,https://data.cerl.org/istc/if00157000,https://data.cerl.org/mei/_search?query=data.hostItemId:if00157000,,,,,,,,https://www.google.it/books/edition/Platonica_theologia_de_immortalitate_ani/8tLshbssSyEC?hl=it&gbpv=1&dq=Platonica+theologia+de+immortalitate+animorum&printsec=frontcover,,,,
75,138843.0,,...other,,,5.0,"Steuco, Agostino",,,,,,,,,,"Tomus tertius, in quo haec continentur, de perenni philosophia libri 10. De mundi exitio. De Eugubii, urbis suae nomine","Paris, apud Michel Sonnius, 1578",,\12] 296 \16] c,Paris ,"Sonnius, Michel",,,1578,Latin,https://www.ustc.ac.uk/editions/138843,,,,,,,,RMLE014720,http://id.sbn.it/bid/RMLE014720,,,,https://www.google.it/books/edition/Augustini_Steuchi_Eugubini_Opera_quae_ex/C4USGF4Myv8C?hl=it&gbpv=0,,,,
