Veritrace_ID,USTC_ID,Added by,Subcorpus,Subcorpus_2 (if any),CRC_Type,USTC copies,Principal Author,Additional Author,Additional Author2,Additional Author3,Additional Author4,Additional Author5,Contributor,Contributor2,Contributor3,Translator,Short Title,Imprint,Format,Pagination,Place of Printing,Printer/Publisher,Printer/Publisher2,Printer/Publisher3,Date of Publication,Language,USTC Permalink,GW_ID,GW_URL,ISTC_ID,ISTC URL,MEI URL,Verzeichnis 16. Jahrhunders ID (VD16) ID,VD16 Permalink,OPAC SBN ID,OPAC SBN URL,ESTC,SOURCE COMMENTS (Input),Dannenfeldt Cat.,Verified Digital Copy URL,MDZ Link,TaxonomyID,Copy-text?,Taxonomy
20,3059740.0,,Hermetic Corpus,,,25.0,,,,,,,,,,,"The divine Pymander of Hermes Mercurius Trismegistus, in XVII. books. Translated formerly out of the Arabick into Greek, and thence into Latine, and Dutch, and now out of the original into English; by that learned divine Doctor Everard.","London, printed by Robert White, for Thomas Brewster and Gregory Moule, 1650 [=1649]",8°,pp. [16]. 215. [1],London,"Brewster, Thomas","White, Robert","Moule,Gregory",1650,English,https://www.ustc.ac.uk/editions/3059740,,,,,,,,,,http://estc.bl.uk/R202412,Added by Nicolò; digital copy available through affiliated institution. ,,https://www.proquest.com/docview/2240961680?sourcetype=Books,,,,
18,150230.0,,Hermetic Corpus,,,45.0,Jamblichus,Asclepius medicus,"Ficino, Marsilio",Hermes Trismegistus,Plato,Porphyrius,,,,,"De mysteriis Aegyptiorum, Chaldaeorum, Assyriorium Proclus in Platonicum Alcibiadem de anima, atque daemone; Idem de sacrifio et magia; Porphyrius de divinis atque daemonibus de daemonibus; Mercurii Trismegisti Pimander; Asclepius","Lyon, apud Jean de Tournes (I), 1549",16°,pp. 543 [1],Lyon,"Tournes, Jean de (I)",,,1549,Latin,https://www.ustc.ac.uk/editions/150230,,,,,,,,BVEE004418,http://id.sbn.it/bid/BVEE004418,,Dannenfeldt 1960 (146),,https://www.google.be/books/edition/De_mysteriis_Aegyptiorum_liber/f8U7AAAAcAAJ?hl=it&gbpv=0,,,,
82,835644.0,,Hermetic Corpus,,,42.0,Hermes Trismegistus,"Benci, Tommaso",,,,,,,,,Il Pimandro,"Firenze, [Lorenzo Torrentino], 1549",8°,pp. [16] 119 [9],Firenze,"Torrentino, Lorenzo",,,1549,Italian,https://www.ustc.ac.uk/editions/835644,,,,,,,,BVEE006760,http://id.sbn.it/bid/BVEE006760,,Added by Nicolò,,https://www.google.be/books/edition/Il_Pimandro/4bw7AAAAcAAJ?hl=it&gbpv=0,,,,
73,170388.0,,...other,,,24.0,"Steuco, Agostino","Valla, Lorenzo",,,,,,,,,"Operum, tomus tertius. In quo haec continentur, de perenni philosophia, libri 10. De mundi exitio. De Eugubii, urbis suae nomine. De falsa donatione Constantini adversus Laurentium Vallam, libri 2. De restituenda navigatione Tiberis, oratio, ad Paulum II","Paris, apud Michel Sonnius, 1577",2°,ff. [12] 296 [16],Paris,"Sonnius, Michel",,,1577,Latin,https://www.ustc.ac.uk/editions/170388,,,,,,,,PUVE033065,http://id.sbn.it/bid/PUVE033065,,,,https://www.google.it/books/edition/Opera_quae_extant_omnia/4U5Cxs-aanAC?hl=it&gbpv=1&dq=De+perenni+philosophia&printsec=frontcover,,,,
17,141453.0,,Hermetic Corpus,,,68.0,Jamblichus,Hermes,Porphyrius,"Proclus, Diadochus","Psellus, Michael",,"Ficino, Marsilio (Editor)",,,,"De Mysteriis Aegyptiorum, Chaldaeorum, Assyriorum. Proclus in platonicum Alcibiadem de anima atque daemone. De sacrificio et magia. Porphyrius de divinis atque daemonibus. Psellus de Daemonibus. Mercurii Trismegisti Pimander","Lyon, apud Jean de Tournes (II), 1577",16°,pp. 543 [1],Lyon,"Tournes, Jean de (II)",,,1577,Latin,https://www.ustc.ac.uk/editions/141453,,,,,,,,BVEE021017,http://id.sbn.it/bid/BVEE021017,,Dannenfeldt 1960a (143),,https://books.google.be/books?vid=GENT900000139080,,,,
16,810104.0,,Hermetic Corpus,,,50.0,"Apuleius, Lucius","Ficino, Marsilio",Hermes Trismegistus,,,,,,,,"De asino aureo libelli XI. Floridorum libri quatuor. De dogmate Platonis liber unicus. De philosophia item liber unicus. Asclepius, Mercurii Trismegisti Dialogus de voluntate divina, interprete L. Apuleio. Eiusdem Trismegisti Dialogus de potestate et sapientia dei, interprete Marsilio Ficino Item in calce L. Apuleii Orationes duae pro se ipso","Firenze, opera & impensa Filippo I Giunta, 1512",8°,ff. [2] CCLIII [1],Firenze,"Giunta, Filippo (I)",,,1512,Latin,https://www.ustc.ac.uk/editions/810104,,,,,,,,UBOE000872,http://id.sbn.it/bid/UBOE000872,,Dannenfeldt 1960a (139),,"Digitalization process incomplete, see: https://www.internetculturale.it/it/16/search/detail?id=oai%3Abncf.firenze.sbn.it%3A21%3AFI0098%3AMagliabechi%3AUBOE000872",,,,
15,158290.0,,Hermetic Corpus,,,61.0,Jamblichus,Hermes,Porphyrius,"Proclus, Diadochus","Psellus, Michael",,"Ficino, Marsilio (Editor)",,,,"De mysteriis Aegyptiorum, Chaldaeorum, Assyriorum proclus in Platonicum Alcibiadem de anima atque daemone. De sacrificio et magia. Porphyrius de divinis atque daemonibus. Psellus de daemonibus. Mercurii Trismegisti Pimander","Lyon, apud Jean de Tournes (II), 1570",16°,pp. 543 [1],Lyon,"Tournes, Jean de (II)",,,1570,Latin,https://www.ustc.ac.uk/editions/158290,,,,,,,,TO0E030952,http://id.sbn.it/bid/TO0E030952,,Dannenfeldt 1960a (139),,https://books.google.be/books?vid=GENT900000071759,,,,
106,6014753.0,,Sibylline Oracles,,,1.0,,,,,,,,,,,"Sibyllina Oracula ex veteris codicibus aucta, renovata et notis illustrata","Paris, s.n., 1607",8°,,Paris,s.n. ,,,1607,Latin,https://www.ustc.ac.uk/editions/6014753,,,,,,,,,,,This might be the same as USTC_ID 6015959 (see also USTC_ID 6025509 and 6014800).,,See USTC_ID 6015959. ,,,,
104,6025509.0,,Sibylline Oracles,,,1.0,,,,,,,,,,,"Hoc est Sibyllina Oracula, ex vett. codd. aucta, renovata et notis illustrata a D. Johanne Opsopaeo Brettano, cum interpretatione latina Sebastiani Castalionis et indice","Paris, s.n., 1607",8°,,Paris,s.n. ,,,1607,Latin,https://www.ustc.ac.uk/editions/6025509,,,,,,,,,,,This might be the same as USTC_ID 6015959 (see also USTC_ID 6014753 and 6014800).,,See USTC_ID 6015959. ,,,,
88,5037231.0,,Chaldean Oracles,,,1.0,"Opsopoei, Johannis",,,,,,,,,,Oracula magica zoroastris cum scholiis plethonis et pselli nunc primum editi e bibliotheca regia,"Madrid, s.n., 1607.",8°,pp. 7-144.,Madrid,s.n. ,,,1607,Latin,https://www.ustc.ac.uk/editions/5037231,,,,,,,,,,,Added by Nicolò (it may be a bibliographical ghost or maybe USTC_ID 6025509 from Paris?,,"No digital copy. But see USTC_ID 6025509 for a Sibylline Oracle book by the same editor/author and year... in Paris, which does include Chaldean Oracles. ",,,,
108,6014800.0,,Sibylline Oracles,,,1.0,,,,,,,,,,,"Sibyllina oracula ex veteris codicibus aucta, et notis illustrata, cum interpretatione latina et indice","Paris, s.n., 1607",8°,,Paris,s.n. ,,,1607,Latin,"
https://www.ustc.ac.uk/editions/6014800",,,,,,,,,,,This might be the same as USTC_ID 6015959 (see also USTC_ID 6025509 and 6014753).,,See USTC_ID 6015959. ,,,,
14,6703168.0,,Hermetic Corpus,,,3.0,Jamblichus,"Ficino, Marsilio","Apuleius, Lucius","Tournes, Jean de II",,,,,,,"De mysteriis Aegyptiorum, Chaldeorum, Assyriorum","Genève, apud Jean de Tournes, 1607",16°,pp. 543 [1],Genève,"Tournes, Jean de",,,1607,Latin,https://www.ustc.ac.uk/editions/6703168,,,,,,,,VEAE008082,http://id.sbn.it/bid/VEAE008082,,Dannenfeldt 1960a (139),,https://www.google.be/books/edition/De_mysteriis_Aegyptiorum_liber/l2k-AAAAcAAJ?hl=it&gbpv=0,,,,
39,6015959.0,,Sibylline Oracles,Chaldean Oracles,,1.0,,,,,,,,,,,"Sibylliakoi kresmoi hoc est Sibyllina oracula ex uett. codd. aucta, renouata, et notis illustrata a d. Johanne Opsopœo Brettano. Cum interpretatione Latina Sebastiani Castalionis et Indice","Paris, s.n., 1607",8°,"pp. [16] 524, 71 [3]; [2] 7-144; [2] VII-XXIIII, 114 [6]",Paris ,,,,1607,Latin/Greek,https://www.ustc.ac.uk/editions/6015959,,,,,,,,TO0E012594,http://id.sbn.it/bid/TO0E012594,,Dannenfeldt 1960b (159),,https://www.google.be/books/edition/Sibylliakoi_kresmoi_hoc_est_Sibyllina_Or/XxuAeb33V0EC?hl=it&gbpv=1&dq=Sibylliakoi+kresmoi+hoc+est+Sibyllina+oracula&printsec=frontcover,,,,
13,151074.0,,Hermetic Corpus,,,39.0,Jamblichus,"Ficino, Marsilio",Hermes,Porphyrius,"Proclus, Diadochus","Psellus, Michael",,,,,"De mysteriis Aegyptiorum, Chaldaeorum, Assyriorum, Proclus in Platonicum Alcibiadem de anima atque daemone. De sacrificio et magia","Lyon, apud Jean de Tournes (I), 1552",16°,pp. 543 [1],Lyon,"Tournes, Jean de (I)",,,1552,Latin,https://www.ustc.ac.uk/editions/151074,,,,,,,,TO0E018789,http://id.sbn.it/bid/TO0E018789,,Dannenfeldt 1960a (139),,https://www.google.be/books/edition/Iamblichus_De_Mysteriis_Aegyptiorum_Chal/M2WVbM4fqlkC?hl=it&gbpv=0,,,,
12,994416.0,,Hermetic Corpus,,,7.0,Hermes Trismegistus,,,,,,,,,,De potestate et sapientia Dei,"[Venezia, Petrus de Quarengiis, about 1517]",4°,,Venezia,"Quarengiis, Petrus de",,,1517,Latin,https://www.ustc.ac.uk/editions/994416,GWX703a,http://www.gesamtkatalogderwiegendrucke.de/docs/GWX703a.htm,ih00083000,http://data.cerl.org/istc/ih00083000,,,,,,,Campanelli 2011 (LXXV); this edition might be the same as USTC_ID 835642.,,https://digital.wlb-stuttgart.de/index.php?id=6&tx_dlf%5Bid%5D=7705&tx_dlf%5Bpage%5D=1,,,,
19,835642.0,,Hermetic Corpus,,,12.0,Hermes Trismegistus,"Lazzarelli, Ludovico",,,,,,,,,Contenta in hoc volumine. Pimander Mercurii Trismegisti liber de sapientia & potestate Dei. Asclepius. Eiusdem Mercurii liber de voluntate divina. Item Crater Hermetis a Lazarelo Septempedano,"[Venezia, Pietro Quarengi, 1517]",4°,ff. 42,Venezia,"Quarengi, Pietro (uncertain)",,,1517,Latin,https://www.ustc.ac.uk/editions/835642,,,,,,,,RMLE009521,http://id.sbn.it/bid/RMLE009521,,Campanelli 2011 (LXXV); see USTC_ID 994416.,,"No download link provided, but we may actually have this: see Veritrace_ID 12.",,,,
136,843820.0,,Orphic Hymns,,,65.0,Musaeus Grammaticus ,,,,,,,,,,Poiemation ta kath'Hero kai Leandron. Orpheos argonautika. Tou autou hymnoi Orpheos peri lithon. Musaei opusculum de Herone & Leandro. Orphei argonautica. Eiusdem hymni. Orpheus de lapidibus,"Venezia, in aedibus haer. Aldo I Manuzio & Andrea I Torresano, 1517",8°,,Venezia,"Torresano, Andrea (I)","Manuzio, Aldo (I) (heirs of)",,1517,Latin ,https://www.ustc.ac.uk/editions/843820,,,,,,,,TO0E015179,http://id.sbn.it/bid/TO0E015179,,Added by Nicolò,,https://www.google.be/books/edition/Mousaiou_poiemation_ta_kath_Hero_kai_Lea/DweI9SYevLoC?hl=it&gbpv=0,,,,
11,143065.0,,Hermetic Corpus,,,27.0,Hermes Trismegistus,Asclepius medicus,"Matt, Wolfgang von","Schilling, Jan",,,"Estienne, Henri (Translator)",,,"Ficino, Marsilio",Contenta in hoc volumine Pimander; liber de de [sic] sapientia et potestate Dei; liber de voluntate divina. Item Crater Hermetis,"Paris, in officina Henri Estienne, 1505",4°,ff. 81 [=82],Paris ,"Estienne, Henri",,,1505,Latin,https://www.ustc.ac.uk/editions/143065,,,,,,,,BVEE025055,http://id.sbn.it/bid/BVEE025055,,Dannenfeldt 1960a (139),,https://gallica.bnf.fr/ark:/12148/bpt6k538049.r=.langEN,,,,
10,202354.0,,Hermetic Corpus,,,25.0,Hermes Trismegistus,,,,,,,,,"Ficino, Marsilio",De potestate et sapientia Dei,"Paris, [Johannes Higman, for or with] Wolfgang Hopyl, 31 July 1494",4°,ff. [38],Paris ,"Higman, Johannes","Hopyl, Wolfgang",,1494,Latin,https://www.ustc.ac.uk/editions/202354,GW12315,http://www.gesamtkatalogderwiegendrucke.de/docs/GW12315.htm,ih00082000,http://data.cerl.org/istc/ih00082000,https://data.cerl.org/mei/02142466,,,,,,"Dannenfeldt 1960a (139); four MEI URLS listed, I've only added one. ",,https://www.bvh.univ-tours.fr/Consult/consult.asp?numtable=B180336101_INC276_5&numfiche=931&mode=3&offset=0&ecran=0,,,,
9,994419.0,,Hermetic Corpus,,,45.0,Hermes Trismegistus,,,,,,,,,,De potestate et sapientia Dei,"Venezia, Lucas Dominici, 15 May 1481",4°,ff. [44],Venezia,"Dominici, Lucas",,,1481,Latin,https://www.ustc.ac.uk/editions/994419,GW12312,http://www.gesamtkatalogderwiegendrucke.de/docs/GW12312.htm,ih00079000,http://data.cerl.org/istc/ih00079000,https://data.cerl.org/mei/_search?query=data.hostItemId:ih00079000,,,VEAE144693,http://id.sbn.it/bid/VEAE144693,,Dannenfeldt 1960a (138),,https://archive.org/details/ita-bnc-in2-00001254-003/page/n10/mode/2up,,,,
8,994420.0,,Hermetic Corpus,,,8.0,Hermes Trismegistus,,,,,,,,,"Ficino, Marsilio",De potestate et sapientia Dei,"Ferrara, Andreas Belfortis, 8 January 1472",4°,ff. [40],Ferrara,"Belfortis, Andreas",,,1472,Latin,https://www.ustc.ac.uk/editions/994420,GW12311,http://www.gesamtkatalogderwiegendrucke.de/docs/GW12311.htm,ih00078000,http://data.cerl.org/istc/ih00078000,https://data.cerl.org/mei/02000807,,,,,,"Dannenfeldt 1960a (138); three different MEI URLS listed, I've only added one. ",,https://daten.digitale-sammlungen.de/0006/bsb00067142/images/,,,,
7,145506.0,,Hermetic Corpus,,,23.0,Hermes Trismegistus,Asclepius medicus,"Lazarelli, Lodovico",,,,"Lefèvre d'Étaples, Jacques (Editor)",Lucius Apuleius (Translator),,"Ficino, Marsilio","Contenta in hoc volumine: Pimander, liber de sapientia et potestate dei. Asclepius, liber de voluntate divina. Item Crater Hermetis, a Lazarelo Septempedano","Paris, in officina Simon de Colines, 1522",4°,ff. 82,Parigi,"Colines, Simon de",,,1522,Latin,https://www.ustc.ac.uk/editions/145506,,,,,,,,RMLE009578,http://id.sbn.it/bid/RMLE009578,,Dannenfeldt 1960a (139),,No download link provided or found anywhere else.,,,,
22,810105.0,,Hermetic Corpus,,,57.0,"Apuleius, Lucius",Hermes Trismegistus,,,,,,,,,Metamorphoseon sive De asino aureo libri XI. Floridorum libri IIII. De deo Socratis libellus. Apologiae libri II. Trismegisti dialogus. De mundo sive De cosmographia liber I.Trismegisti dialogus,"Firenze, per haer. Filippo I Giunta, 1522",8°,ff. [8] 273 (= 255) [1],Firenze,"Giunta, Filippo (I) (heirs of)",,,1522,Latin,https://www.ustc.ac.uk/editions/810105,,,,,,,,TO0E017937,http://id.sbn.it/bid/TO0E017937,,Dannenfeldt 1960a (146),,https://babel.hathitrust.org/cgi/pt?id=ucm.5320234761&seq=2,,,,
6,836115.0,,Hermetic Corpus,,,75.0,Jamblichus,Albinus,"Ficino, Marsilio",Hermes Trismegistus,Porphyrius,Priscianus Caesariensis,,,,,"Index eorum, quae hoc in libro habentur. Iamblichus de mysteriis Aegyptiorum, Chaldaeorum, Assyriorum. Proclus in Platonicum Alcibiadem de anima, atque daemone. Proclus de sacrificio, & magia. Porphyrius de divinis, atque daemonibus. Synesius Platonicus de somniis. Psellus de daemonibus. Expositio Prisciani, & Marsilii in Theophrastum de sensu, phantasia, & intellectu. Alcinoi Platonici philosophi, liber de doctrina Platonis. Speusippi Platonis discipuli, liber de Platonis definitionibus. Pythagoræ philosophi aurea verba. Symbola Pithagoræ philosophi. Xenocratis philosophi Platonici, liber de morte. Mercurii Trismegisti Pimander. Eiusdem Asclepius. Marsilii Ficini de triplici vita libri II. Eiusdem liber de uoluptate. Eiusdem de sole & lumine","Venezia, in aedibus haer. Aldo I Manuzio & Andrea I Torresano, 1516",2°,ff. 177 (= 175) [[1],Venezia,"Torresano, Andrea (I)","Manuzio, Aldo (I) (heirs of)",,1516,Latin,https://www.ustc.ac.uk/editions/836115,,,,,,,,BVEE059170,http://id.sbn.it/bid/BVEE059170,,Dannenfeldt 1960a (139),,https://www.google.be/books/edition/_/AhjFVjAfUqwC?hl=it&sa=X&ved=2ahUKEwiC0bnC952EAxWyBfsDHRC4Cj8Qre8FegQIERAD=,,,,
5,614107.0,,Hermetic Corpus,,,15.0,Hermes (Trismegistus),,,,,,"Ficinus, Marsilius","Merstetter, Jakob",,,Aureum planeque divinum opusculum mercurii trismegisti de potestate ac sapiencia dei: interprete marsilio ficino Florentino,"[Mainz, per Johann Schöffer, 1503]",4°,ff. [49],Mainz,"Schöffer, Johann",,,1503,Latin,https://www.ustc.ac.uk/editions/614107,,,,,,H 2461,https://gateway-bayern.de/VD16+H+2461,,,,Dannenfeldt 1960a (139),,"https://www.digitale-sammlungen.de/en/view/bsb00002193?page=,1",,,,
80,991951.0,,...other,,,175.0,Plato,,,,,,,,,,Opera [Latin].,"Venezia, Bernardinus de Choris, and Bartholomaeus de Blavis, for Andreas Torresanus, 13 August 1491",2°,ff. [448],Venezia,"Choris, Bernardinus de","Torresanus, Andreas","Blavis,Bartholomaeus de",1491,Latin,https://www.ustc.ac.uk/editions/991951,M33918,https://www.gesamtkatalogderwiegendrucke.de/docs/M33918.htm,ip00772000,https://data.cerl.org/istc/ip00772000,https://data.cerl.org/mei/_search?query=data.hostItemId:ip00772000,,,,,,Includes Ficino's Theologia platonica (added by Nicolò),,https://daten.digitale-sammlungen.de/0005/bsb00059968/images/,,,,
4,994418.0,,Hermetic Corpus,,,53.0,Hermes Trismegistus,,,,,,,,,,De potestate et sapientia Dei,"Venezia, Maximus de Butricis, 29 July 1491",4°,ff. [26],Venezia,"Butricis, Maximus de",,,1491,Latin,https://www.ustc.ac.uk/editions/994418,GW12313,http://www.gesamtkatalogderwiegendrucke.de/docs/GW12313.htm,ih00080000,http://data.cerl.org/istc/ih00080000,,,,UM1E025591,http://id.sbn.it/bid/UM1E025591,,Dannenfeldt 1960a (139),,https://www.bibliotecavirtualdeandalucia.es/catalogo/catalogo_imagenes/grupo.cmd?path=10046,,,,
3,675716.0,,Hermetic Corpus,,,46.0,Hermes (Trismegistus),Jamblichus Chalcidensis,Proclus (Diadochus),,,,"Ficinus, Marsilius",Apuleius (Madaurensis),"Isengrin,Michael",,"Pymander, de potestate et sapientia Dei","Basel, [per Michael Isengrin], 1532",8°,pp. 480 [4],Basel,"Isengrin, Michael",,,1532,Latin,https://www.ustc.ac.uk/editions/675716,,,,,,H 2462,https://gateway-bayern.de/VD16+H+2462,BVEE020398,http://id.sbn.it/bid/BVEE0203981,,Dannenfeldt 1960a (139),,https://www.e-rara.ch/bau_1/doi/10.3931/e-rara-290,,,,
2,994417.0,,Hermetic Corpus,,,75.0,Hermes Trismegistus,,,,,,,,,,De potestate et sapientia Dei,"Venezia, Damianus de Mediolano, 10 May 1493",4°,ff. 32,Venezia,"Mediolano, Damianus de",,,1493,Latin,https://www.ustc.ac.uk/editions/994417,GW12314,http://www.gesamtkatalogderwiegendrucke.de/docs/GW12314.htm,ih00081000,http://data.cerl.org/istc/ih00081000,https://data.cerl.org/mei/_search?query=data.hostItemId:ih00081000,,,VEAE127821,http://id.sbn.it/bid/VEAE127821,,Dannenfeldt 1960a (139),,https://collections.thulb.uni-jena.de/rsc/viewer/HisBest_derivate_00004624/BE_1397_0533.tif,,,,
36,997570.0,,Hermetic Corpus,,,95.0,"Apuleius, Lucius",,,,,,"Bussi, Giovanni Andrea (Editor)",,,,Opera,"Venezia, Philippus Pincius, 30 April 1493",2°,ff. [118],Venezia,"Pincius, Philippus",,,1493,Latin,https://www.ustc.ac.uk/editions/997570,GW02303,https://www.gesamtkatalogderwiegendrucke.de/docs/GW02303.htm,ia00936000,https://data.cerl.org/istc/ia00936000,https://data.cerl.org/mei/_search?query=data.hostItemId:ia00936000,,,CAGE000324,http://id.sbn.it/bid/CAGE000324,,Dannenfeldt 1960a (146),,https://daten.digitale-sammlungen.de/~db/0004/bsb00045652/images/index.html,,,,
1,994421.0,,Hermetic Corpus,,,50.0,Hermes Trismegistus,,,,,,,,,"Ficino, Marsilio",De potestate et sapientia Dei,"Treviso, Gerardus de Lisa, 18 December 1471",8°,ff. [56],Treviso,"Lisa, Gerardus de",,,1471,Latin,https://www.ustc.ac.uk/editions/994421,GW12310,http://www.gesamtkatalogderwiegendrucke.de/docs/GW12310.htm,ih00077000,https://data.cerl.org/istc/ih00077000,https://data.cerl.org/mei/_search?query=data.hostItemId:ih00077000,,,PALE007433,http://id.sbn.it/bid/PALE007433,,Dannenfeldt 1960a (138),,https://gallica.bnf.fr/ark:/12148/bpt6k60830b,,,,
